interest_rate,late_payment_fee,annual_fee,billing_cycle,minimum_payment_pct,disclosure_provided,label
43.45,1771,6135,58,9.25,1,0
25.52,2482,2435,43,1.18,1,0
18.04,1014,7319,44,19.1,1,0
23.87,1590,4636,60,0.48,1,0
41.11,465,4756,33,2.31,1,1
19.02,589,10557,40,9.23,1,0
13.37,566,2370,27,8.84,1,1
26.57,896,2753,37,7.79,1,1
38.36,729,1961,26,3.93,1,1
20.57,1105,1639,6,3.09,1,0
14.9,694,9733,44,5.35,1,0
22.77,804,4945,33,8.46,1,1
38.23,254,3630,42,2.78,1,1
27.91,870,11364,39,4.73,1,0
43.49,571,4098,42,8.67,1,0
32.53,688,1863,27,5.47,0,0
29.27,886,4049,37,3.95,1,1
18.41,1069,1390,27,4.27,1,1
17.24,231,6590,66,5.07,0,0
54.27,938,4709,27,3.0,0,0
36.12,1160,3805,26,6.46,1,1
54.87,507,4935,41,5.21,1,0
34.31,1072,3686,33,8.01,1,1
32.33,423,6632,62,9.56,1,0
37.2,667,4270,40,7.01,1,1
27.31,333,10959,41,3.55,0,0
26.01,210,806,26,5.22,1,1
11.25,488,1305,10,9.97,1,0
25.84,340,1261,8,14.21,1,0
34.65,2010,2827,38,0.92,0,0
18.9,551,58,27,7.66,1,1
29.84,267,3434,43,6.52,1,1
23.3,1639,7531,17,2.75,1,0
33.26,103,4259,42,7.49,1,1
31.34,284,9957,19,1.81,1,0
53.28,922,3492,28,5.92,1,0
52.07,1269,4735,36,13.96,1,0
12.74,780,3372,32,4.13,1,1
19.23,2275,8590,73,17.84,0,0
22.94,858,2910,31,7.36,1,1
32.01,824,4586,38,9.79,1,1
21.68,561,6609,41,9.16,1,0
37.12,1102,9522,39,0.72,1,0
21.49,634,1673,35,3.91,1,1
15.97,814,563,32,4.96,1,1
37.99,878,2277,39,7.09,1,1
40.41,1002,9543,34,12.58,1,0
27.84,286,9155,69,13.62,1,0
18.73,321,2868,42,18.31,1,0
20.87,360,1571,38,7.32,1,1
18.35,769,2764,37,4.23,1,1
21.2,2192,10936,31,1.81,1,0
32.41,230,3152,37,6.77,1,1
50.66,767,6846,32,18.71,0,0
36.32,1557,11975,27,6.4,1,0
39.76,549,2656,26,3.83,1,1
31.07,1041,10046,38,14.7,0,0
12.85,302,2746,20,3.1,1,0
32.03,749,3625,44,8.52,1,1
38.76,973,4488,39,9.18,1,1
31.72,242,1162,45,9.77,0,0
42.72,281,2295,74,19.87,0,0
23.78,2258,2178,54,2.81,1,0
3.3,1231,2691,29,0.48,1,0
1.51,587,4823,35,2.13,0,0
38.67,2280,6948,78,7.9,0,0
23.99,1198,2712,25,2.92,1,1
41.88,250,4404,31,6.05,1,1
33.53,516,2162,41,5.91,1,1
18.76,2330,9693,32,12.71,1,0
41.83,1258,9302,34,3.92,1,0
28.28,951,510,31,8.66,1,1
16.28,997,7967,19,2.54,0,0
34.67,324,1252,45,3.28,1,1
21.59,265,1133,29,3.85,1,1
22.94,181,2931,31,7.46,1,1
21.06,292,1465,83,5.03,0,0
20.3,107,2732,29,7.1,1,1
17.31,1111,3800,43,19.87,0,0
25.52,1981,11917,17,14.26,0,0
41.06,224,2569,26,2.4,1,1
15.21,418,2231,34,6.84,1,1
35.81,2212,1836,28,9.88,1,0
26.25,134,3017,35,0.9,1,0
20.81,423,3716,25,9.63,1,1
23.22,430,4418,41,9.35,1,1
31.56,130,764,32,3.33,1,1
38.01,472,411,33,5.03,1,1
48.84,87,4888,82,12.25,1,0
46.97,273,6766,74,3.26,1,0
29.69,1174,6864,34,9.84,1,0
40.03,1156,8681,34,2.67,1,0
18.67,1042,2864,34,8.56,1,1
41.99,651,4720,87,8.1,1,0
34.48,584,1331,30,9.05,1,1
20.85,1478,9183,45,6.11,1,0
47.61,1347,3482,28,6.36,1,0
27.7,838,554,12,0.04,0,0
17.97,959,1805,39,6.71,1,1
31.53,2032,8957,40,9.11,1,0
11.58,1790,3621,23,3.63,1,0
1.09,1059,2491,66,0.94,1,0
20.92,249,10885,7,5.52,1,0
36.28,113,1307,38,4.72,1,1
9.62,830,844,44,7.85,0,0
46.35,2160,5372,21,8.32,0,0
22.09,1112,9884,30,5.9,1,0
10.04,187,7314,86,13.6,0,0
9.44,1186,2415,60,6.04,1,0
7.26,1461,11475,18,11.05,0,0
39.29,769,9349,10,18.32,1,0
51.73,332,7734,14,6.1,0,0
39.52,348,3739,29,8.41,1,1
15.43,546,3809,33,8.14,1,1
6.58,719,115,42,3.01,1,0
23.87,714,3745,35,9.43,1,1
14.81,576,4139,44,2.21,1,1
19.14,1094,1755,42,3.06,1,1
20.68,1979,63,40,7.98,1,0
38.54,1039,1170,33,3.12,1,1
16.73,719,4333,25,7.34,1,1
39.28,718,9036,28,3.12,1,0
58.42,1013,8663,38,3.33,1,0
49.79,1666,5654,28,6.16,1,0
40.28,711,3194,38,6.31,1,1
34.09,278,4837,38,2.25,1,1
41.03,902,9579,44,7.67,1,0
33.05,246,4990,45,3.37,1,1
22.17,1028,6251,88,7.84,1,0
55.26,1291,9473,32,7.86,1,0
23.98,549,1133,41,5.95,1,1
20.24,1264,614,45,5.25,0,0
14.37,469,10415,34,4.57,1,0
28.91,1913,9924,57,8.61,1,0
24.26,1062,11454,3,3.85,1,0
12.96,746,3286,33,2.53,1,1
32.79,242,5642,58,15.82,1,0
49.41,471,4795,38,7.08,0,0
5.98,2479,1025,45,4.42,0,0
18.45,822,398,10,4.25,0,0
12.06,899,2172,39,4.28,1,1
47.55,1967,4470,34,16.27,1,0
15.14,429,2701,48,7.55,0,0
17.38,1467,2541,45,4.18,0,0
19.44,231,2769,25,6.71,1,1
39.82,1722,2444,48,7.84,1,0
18.74,507,1207,25,2.37,1,1
33.12,1756,9130,77,3.11,0,0
36.45,583,842,29,0.29,1,0
25.46,964,1503,33,5.7,1,1
37.42,982,5371,2,7.82,1,0
15.7,2256,4442,81,14.08,0,0
52.77,373,5674,66,13.29,1,0
44.22,920,4028,27,16.22,1,0
32.6,1071,549,4,8.65,1,0
25.35,1998,7822,35,15.24,1,0
32.72,1105,3671,61,2.74,1,0
16.85,636,10816,76,4.81,1,0
17.03,334,1341,34,2.86,1,1
13.91,1018,2965,21,16.19,1,0
20.24,258,2340,32,4.17,1,1
29.9,807,2569,38,6.85,1,1
43.1,305,3634,30,7.55,1,0
21.96,354,3014,77,10.92,1,0
6.61,1767,10074,12,5.19,0,0
20.8,840,4729,31,7.64,1,1
38.14,556,193,31,5.19,1,1
34.47,206,2866,32,7.2,1,1
15.44,1199,2185,45,4.72,1,1
20.8,189,5300,26,18.17,1,0
50.54,636,4788,37,10.73,1,0
37.93,747,11524,39,2.55,0,0
17.75,1402,10595,20,18.48,1,0
45.99,1943,4811,29,9.08,1,0
41.07,2440,7871,31,10.72,1,0
26.3,1187,1289,26,9.69,1,1
45.79,2409,5224,83,12.16,1,0
10.03,613,84,80,19.57,0,0
13.12,1929,10621,42,14.51,0,0
36.04,2093,2964,27,5.49,1,0
18.33,1206,1286,32,3.39,1,0
30.85,1385,2530,39,2.27,0,0
29.27,928,6408,34,2.92,1,0
8.09,2293,8281,35,11.67,0,0
27.58,405,6332,65,15.37,1,0
35.68,785,5668,10,19.18,1,0
23.51,1140,11453,27,10.13,1,0
11.29,852,6555,45,4.87,1,0
31.44,962,56,12,19.58,1,0
21.67,602,709,85,9.05,1,0
39.16,401,3583,47,9.57,1,0
23.68,140,4716,37,5.82,1,1
2.87,665,4553,25,6.13,1,0
27.98,2233,5608,79,7.41,1,0
28.64,312,1100,33,2.92,1,1
